70	sample1_nopolyA_ext70_cluster_6435	chrM	9327	9396	70:1	+	1	chrM	2k_up	7876	9875	+	.	NM_001163773	Gm10222	Gm10222:chrM:9876-10417:+
157	sample1_nopolyA_ext70_cluster_3552	chr2	5300259	5300415	2:1|1:2|2:3|2:5|1:7|1:9|4:10|5:11|52:12|2:11|1:10|2:9|1:7|1:8|1:6|2:7|1:10|1:11|1:13|2:12|2:13|1:20|58:19|2:18|1:15|1:14|1:11|1:10|3:8|2:7	-	31	chr2	intron	5283174	5366115	-	.	NM_177343	Camk1d	Camk1d:chr2:5214503-5635710:-
70	sample1_nopolyA_ext70_cluster_3553	chr2	5305415	5305484	70:1	-	1	chr2	intron	5283174	5366115	-	.	NM_177343	Camk1d	Camk1d:chr2:5214503-5635710:-
70	sample1_nopolyA_ext70_cluster_2634	chr17	5329876	5329945	70:1	+	1	chr17	intron	5327822	5332486	+	.	NM_001085355	Arid1b	Arid1b:chr17:4995074-5347656:+
70	sample1_nopolyA_ext70_cluster_3137	chr19	5461773	5461842	70:1	+	1	chr19	intron	5461517	5462531	+	.	NM_021438	Fibp	Fibp:chr19:5460694-5464994:+
70	sample1_nopolyA_ext70_cluster_768	chr11	5488471	5488540	70:1	+	1	chr11	intron	5484047	5496716	+	.	NM_023816	Ankrd36	Ankrd36:chr11:5469687-5589340:+
70	sample1_nopolyA_ext70_cluster_3554	chr2	5558313	5558382	70:1	-	1	chr2	intron	5486827	5635191	-	.	NM_177343	Camk1d	Camk1d:chr2:5214503-5635710:-
70	sample1_nopolyA_ext70_cluster_4170	chr4	5668499	5668568	70:3	+	3	chr4	intron	5656805	5725415	+	.	NM_173426	Fam110b	Fam110b:chr4:5571326-5727091:+
70	sample1_nopolyA_ext70_cluster_769	chr11	5687140	5687209	70:1	+	1	chr11	2k_up	5686486	5688485	+	.	NM_001146308	Dbnl	Dbnl:chr11:5688486-5700983:+
70	sample1_nopolyA_ext70_cluster_769	chr11	5687140	5687209	70:1	+	1	chr11	2k_up	5686486	5688485	+	.	NM_001146309	Dbnl	Dbnl:chr11:5688486-5700983:+
70	sample1_nopolyA_ext70_cluster_769	chr11	5687140	5687209	70:1	+	1	chr11	2k_up	5686486	5688485	+	.	NM_013810	Dbnl	Dbnl:chr11:5688486-5700983:+
70	sample1_nopolyA_ext70_cluster_4171	chr4	5721183	5721252	70:1	+	1	chr4	intron	5656805	5725415	+	.	NM_173426	Fam110b	Fam110b:chr4:5571326-5727091:+
70	sample1_nopolyA_ext70_cluster_3138	chr19	5744248	5744317	70:1	+	1	chr19	intron	5742563	5745439	+	.	NM_008520	Ltbp3	Ltbp3:chr19:5740904-5758532:+
70	sample1_nopolyA_ext70_cluster_5001	chr6	5761095	5761164	70:3	+	3	chr6	intron	5750891	5855104	+	.	NM_010063	Dync1i1	Dync1i1:chr6:5675639-5978039:+
158	sample1_nopolyA_ext70_cluster_3218	chr19	5796067	5796224	45:1|4:3|21:7|6:6|2:7|10:8|27:9|4:7|27:3|2:2|10:1	-	10	chr19	3UTR	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
158	sample1_nopolyA_ext70_cluster_3218	chr19	5796067	5796224	45:1|4:3|21:7|6:6|2:7|10:8|27:9|4:7|27:3|2:2|10:1	-	10	chr19	exon	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3219	chr19	5796379	5796448	70:1	-	1	chr19	3UTR	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3219	chr19	5796379	5796448	70:1	-	1	chr19	exon	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3220	chr19	5798055	5798124	70:3	-	3	chr19	3UTR	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3220	chr19	5798055	5798124	70:3	-	3	chr19	exon	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3221	chr19	5798190	5798259	70:2	-	2	chr19	3UTR	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3221	chr19	5798190	5798259	70:2	-	2	chr19	exon	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3222	chr19	5798726	5798795	70:1	-	1	chr19	3UTR	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3222	chr19	5798726	5798795	70:1	-	1	chr19	exon	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3223	chr19	5799240	5799309	70:4	-	4	chr19	3UTR	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3223	chr19	5799240	5799309	70:4	-	4	chr19	exon	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3224	chr19	5799344	5799413	70:2	-	2	chr19	3UTR	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3224	chr19	5799344	5799413	70:2	-	2	chr19	exon	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
108	sample1_nopolyA_ext70_cluster_3225	chr19	5800417	5800524	29:1|9:2|32:3|29:2|9:1	-	3	chr19	3UTR	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
108	sample1_nopolyA_ext70_cluster_3225	chr19	5800417	5800524	29:1|9:2|32:3|29:2|9:1	-	3	chr19	exon	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
75	sample1_nopolyA_ext70_cluster_3226	chr19	5800661	5800735	5:3|65:5|5:2	-	5	chr19	3UTR	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
75	sample1_nopolyA_ext70_cluster_3226	chr19	5800661	5800735	5:3|65:5|5:2	-	5	chr19	exon	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3227	chr19	5800888	5800957	70:4	-	4	chr19	3UTR	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3227	chr19	5800888	5800957	70:4	-	4	chr19	exon	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3228	chr19	5801577	5801646	70:1	-	1	chr19	3UTR	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3228	chr19	5801577	5801646	70:1	-	1	chr19	exon	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
73	sample1_nopolyA_ext70_cluster_3229	chr19	5801862	5801934	3:1|67:3|3:2	-	3	chr19	3UTR	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
73	sample1_nopolyA_ext70_cluster_3229	chr19	5801862	5801934	3:1|67:3|3:2	-	3	chr19	exon	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3230	chr19	5802144	5802213	70:1	-	1	chr19	3UTR	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_3230	chr19	5802144	5802213	70:1	-	1	chr19	exon	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
74	sample1_nopolyA_ext70_cluster_3231	chr19	5802269	5802342	4:1|66:4|4:3	-	4	chr19	3UTR	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
74	sample1_nopolyA_ext70_cluster_3231	chr19	5802269	5802342	4:1|66:4|4:3	-	4	chr19	exon	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
113	sample1_nopolyA_ext70_cluster_3232	chr19	5802372	5802484	35:3|8:4|27:8|35:5|8:4	-	8	chr19	3UTR	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
113	sample1_nopolyA_ext70_cluster_3232	chr19	5802372	5802484	35:3|8:4|27:8|35:5|8:4	-	8	chr19	exon	5795690	5802671	-	-1	NR_002847	Malat1	Malat1:chr19:5795690-5802671:-
70	sample1_nopolyA_ext70_cluster_965	chr11	5906361	5906430	70:1	-	1	chr11	intron	5901396	5915452	-	.	NM_007595	Camk2b	Camk2b:chr11:5869670-5965661:-
70	sample1_nopolyA_ext70_cluster_6438	chrX	6063335	6063404	70:4	+	4	chrX	intron	5977380	6097910	+	.	NM_001040459	Shroom4	Shroom4:chrX:5977263-6210835:+
70	sample1_nopolyA_ext70_cluster_2342	chr16	6097334	6097403	70:1	+	1	chr16	intron	5885958	6173697	+	.	NM_021477	A2bp1	A2bp1:chr16:5884886-7412572:+
70	sample1_nopolyA_ext70_cluster_1925	chr14	6140623	6140692	70:1	-	1	chr14	intron	5930189	6239108	-	.	NM_001024712	544988	544988:chr14:5356914-6240676:-
70	sample1_nopolyA_ext70_cluster_2343	chr16	6211850	6211919	70:1	+	1	chr16	intron	6173761	6487911	+	.	NM_021477	A2bp1	A2bp1:chr16:5884886-7412572:+
70	sample1_nopolyA_ext70_cluster_2635	chr17	6228311	6228380	70:1	+	1	chr17	intron	6224246	6229334	+	.	NM_001103181	Tulp4	Tulp4:chr17:6106830-6240637:+
70	sample1_nopolyA_ext70_cluster_2635	chr17	6228311	6228380	70:1	+	1	chr17	intron	6224246	6229334	+	.	NM_054040	Tulp4	Tulp4:chr17:6106830-6240637:+
70	sample1_nopolyA_ext70_cluster_2636	chr17	6285456	6285525	70:3	+	3	chr17	intron	6280702	6286925	+	.	NM_001033178	Tmem181a	Tmem181a:chr17:6270475-6305783:+
70	sample1_nopolyA_ext70_cluster_2344	chr16	6289269	6289338	70:3	+	3	chr16	intron	6173761	6487911	+	.	NM_021477	A2bp1	A2bp1:chr16:5884886-7412572:+
70	sample1_nopolyA_ext70_cluster_623	chr10	6418663	6418732	70:1	-	1	chr10	intron	6416335	6427335	-	.	NM_001033253	Plekhg1	Plekhg1:chr10:6379241-6606164:-
70	sample1_nopolyA_ext70_cluster_623	chr10	6418663	6418732	70:1	-	1	chr10	intron	6416335	6427335	-	.	NM_001159942	Plekhg1	Plekhg1:chr10:6379241-6606164:-
70	sample1_nopolyA_ext70_cluster_2777	chr17	6461299	6461368	70:2	-	2	chr17	intron	6459860	6466066	-	.	NM_001045538	Tmem181b	Tmem181b:chr17:6439626-6476275:-
70	sample1_nopolyA_ext70_cluster_3017	chr18	6499511	6499580	70:4	-	4	chr18	intron	6462990	6515862	-	.	NM_007935	Epc1	Epc1:chr18:6435949-6516085:-
70	sample1_nopolyA_ext70_cluster_966	chr11	6505520	6505589	70:1	-	1	chr11	CDS	6505481	6505751	-	0	NM_001081652	Nacad	Nacad:chr11:6497826-6506057:-
70	sample1_nopolyA_ext70_cluster_966	chr11	6505520	6505589	70:1	-	1	chr11	exon	6505481	6506057	-	0	NM_001081652	Nacad	Nacad:chr11:6497826-6506057:-
70	sample1_nopolyA_ext70_cluster_2345	chr16	6505539	6505608	70:5	+	5	chr16	intron	6487960	6636618	+	.	NM_021477	A2bp1	A2bp1:chr16:5884886-7412572:+
70	sample1_nopolyA_ext70_cluster_5183	chr6	6517314	6517383	70:1	-	1	chr6	intron	6510502	6528478	-	.	NM_009169	Shfm1	Shfm1:chr6:6508275-6528658:-
70	sample1_nopolyA_ext70_cluster_1453	chr13	6566388	6566457	70:1	+	1	chr13	intron	6564354	6566595	+	.	NM_145131	Pitrm1	Pitrm1:chr13:6547403-6579395:+
70	sample1_nopolyA_ext70_cluster_3557	chr2	6579576	6579645	70:1	-	1	chr2	intron	6545766	6585160	-	.	NM_001110228	Cugbp2	Cugbp2:chr2:6460744-7317825:-
70	sample1_nopolyA_ext70_cluster_3557	chr2	6579576	6579645	70:1	-	1	chr2	intron	6545766	6585160	-	.	NM_001110229	Cugbp2	Cugbp2:chr2:6460744-7317825:-
70	sample1_nopolyA_ext70_cluster_3557	chr2	6579576	6579645	70:1	-	1	chr2	intron	6545766	6585160	-	.	NM_001110230	Cugbp2	Cugbp2:chr2:6460744-7317825:-
70	sample1_nopolyA_ext70_cluster_3557	chr2	6579576	6579645	70:1	-	1	chr2	intron	6545766	6585160	-	.	NM_001110231	Cugbp2	Cugbp2:chr2:6460744-7317825:-
70	sample1_nopolyA_ext70_cluster_3557	chr2	6579576	6579645	70:1	-	1	chr2	intron	6545766	6585160	-	.	NM_001110232	Cugbp2	Cugbp2:chr2:6460744-7317825:-
70	sample1_nopolyA_ext70_cluster_3557	chr2	6579576	6579645	70:1	-	1	chr2	intron	6545766	6585160	-	.	NM_001160292	Cugbp2	Cugbp2:chr2:6460744-7317825:-
70	sample1_nopolyA_ext70_cluster_3557	chr2	6579576	6579645	70:1	-	1	chr2	intron	6545766	6585160	-	.	NM_001160293	Cugbp2	Cugbp2:chr2:6460744-7317825:-
70	sample1_nopolyA_ext70_cluster_3557	chr2	6579576	6579645	70:1	-	1	chr2	intron	6545766	6585160	-	.	NM_010160	Cugbp2	Cugbp2:chr2:6460744-7317825:-
70	sample1_nopolyA_ext70_cluster_3558	chr2	6638356	6638425	70:1	-	1	chr2	intron	6585244	6642462	-	.	NM_001110228	Cugbp2	Cugbp2:chr2:6460744-7317825:-
70	sample1_nopolyA_ext70_cluster_3558	chr2	6638356	6638425	70:1	-	1	chr2	intron	6585244	6642462	-	.	NM_001110229	Cugbp2	Cugbp2:chr2:6460744-7317825:-
70	sample1_nopolyA_ext70_cluster_3558	chr2	6638356	6638425	70:1	-	1	chr2	intron	6585244	6642462	-	.	NM_001110230	Cugbp2	Cugbp2:chr2:6460744-7317825:-
70	sample1_nopolyA_ext70_cluster_3558	chr2	6638356	6638425	70:1	-	1	chr2	intron	6585244	6642462	-	.	NM_001110231	Cugbp2	Cugbp2:chr2:6460744-7317825:-
70	sample1_nopolyA_ext70_cluster_3558	chr2	6638356	6638425	70:1	-	1	chr2	intron	6585244	6642462	-	.	NM_001110232	Cugbp2	Cugbp2:chr2:6460744-7317825:-
70	sample1_nopolyA_ext70_cluster_3558	chr2	6638356	6638425	70:1	-	1	chr2	intron	6585244	6642462	-	.	NM_001160292	Cugbp2	Cugbp2:chr2:6460744-7317825:-
70	sample1_nopolyA_ext70_cluster_3558	chr2	6638356	6638425	70:1	-	1	chr2	intron	6585244	6642462	-	.	NM_001160293	Cugbp2	Cugbp2:chr2:6460744-7317825:-
